CVE,Summary,Severity,Source Location,Published,References,CVSS,EPSS,KEV
CVE-2025-6544,H2O affected by a deserialization vulnerability,critical,https://github.com/h2oai/h2o-3,2025-09-21T09:15:38Z,"['https://nvd.nist.gov/vuln/detail/CVE-2025-6544', 'https://github.com/h2oai/h2o-3/commit/0298ee348f5c73673b7b542158081e79605f5f25', 'https://huntr.com/bounties/53f35a0f-d644-4f82-93aa-89fe7e0aed40', 'https://github.com/advisories/GHSA-5w3j-gwgh-4rfv']","{'vector_string': 'CVSS:3.0/AV:N/AC:L/PR:N/UI:N/S:U/C:H/I:H/A:H', 'score': 9.8}","{'percentage': 0.00072, 'percentile': 0.22775}",
CVE-2025-6237,InvokeAI has External Control of File Name or Path,critical,https://github.com/invoke-ai/InvokeAI,2025-09-18T09:15:35Z,"['https://nvd.nist.gov/vuln/detail/CVE-2025-6237', 'https://huntr.com/bounties/54ac9589-7c88-4fd4-8512-8b2f19fbaedf', 'https://github.com/invoke-ai/InvokeAI/blob/v6.0.0a1/invokeai/app/api/routers/images.py#L493-L524', 'https://github.com/invoke-ai/InvokeAI/pull/8548/commits/eff565ae6ace1c8458f187245690bff0513f1b9e', 'https://github.com/invoke-ai/InvokeAI/releases/tag/v6.7.0', 'https://github.com/advisories/GHSA-vv9c-xxg7-wmv7']","{'vector_string': 'CVSS:3.0/AV:N/AC:L/PR:N/UI:N/S:U/C:H/I:H/A:H', 'score': 9.8}","{'percentage': 0.00093, 'percentile': 0.27112}",
,Duplicate Advisory: Picklescan is Vulnerable to Unsafe Globals Check Bypass through Subclass Imports,critical,,2025-09-17T12:15:38Z,"['https://github.com/mmaitre314/picklescan/security/advisories/GHSA-f7qq-56ww-84cr', 'https://nvd.nist.gov/vuln/detail/CVE-2025-10157', 'https://github.com/mmaitre314/picklescan/blob/2a8383cfeb4158567f9770d86597300c9e508d0f/src/picklescan/scanner.py#L309', 'https://huggingface.co/iluem/linux_pkl/resolve/main/asyncio_asyncio_unix_events___UnixSubprocessTransport__start.pkl', 'https://github.com/advisories/GHSA-hf6h-9wq7-hmjg']","{'vector_string': None, 'score': None}",,
,Duplicate Advisory: Picklescan: ZIP archive scan bypass is possible through non-exhaustive Cyclic Redundancy Check,critical,,2025-09-17T11:15:32Z,"['https://github.com/mmaitre314/picklescan/security/advisories/GHSA-mjqp-26hc-grxg', 'https://nvd.nist.gov/vuln/detail/CVE-2025-10156', 'https://github.com/mmaitre314/picklescan/blob/v0.0.29/src/picklescan/relaxed_zipfile.py#L35', 'https://huggingface.co/jinaai/jina-embeddings-v2-base-en/resolve/main/pytorch_model.bin?download=true', 'https://huggingface.co/jinaai/jina-embeddings-v2-base-en/tree/main', 'https://github.com/advisories/GHSA-4vr7-g93g-cf6m']","{'vector_string': None, 'score': None}",,
,Duplicate Advisory: Picklescan Bypass is Possible via File Extension Mismatch,critical,,2025-09-17T10:15:36Z,"['https://github.com/mmaitre314/picklescan/security/advisories/GHSA-jgw4-cr84-mqxg', 'https://nvd.nist.gov/vuln/detail/CVE-2025-10155', 'https://github.com/mmaitre314/picklescan/blob/58983e1c20973ac42f2df7ff15d7c8cd32f9b688/src/picklescan/scanner.py#L463', 'https://github.com/advisories/GHSA-j424-mc44-f4hj']","{'vector_string': None, 'score': None}",,
CVE-2025-59377,mcp-kubernetes-server has an OS Command Injection vulnerability,critical,https://github.com/feiskyer/mcp-kubernetes-server,2025-09-15T14:15:44Z,"['https://nvd.nist.gov/vuln/detail/CVE-2025-59377', 'https://github.com/feiskyer/mcp-kubernetes-server/blob/78957b6c1a3982080cf6fcaac6f6e9014116a71c/src/mcp_kubernetes_server/command.py#L38', 'https://github.com/william31212/CVE-Requests-1896609', 'https://www.tenable.com/cve/CVE-2025-59377', 'https://github.com/advisories/GHSA-4hqq-7q79-932p']","{'vector_string': 'CVSS:3.1/AV:N/AC:L/PR:N/UI:N/S:U/C:H/I:H/A:H', 'score': 9.8}","{'percentage': 0.00053, 'percentile': 0.16284}",
CVE-2025-10155,Picklescan Bypass is Possible via File Extension Mismatch,critical,https://github.com/mmaitre314/picklescan,,"['https://github.com/mmaitre314/picklescan/security/advisories/GHSA-jgw4-cr84-mqxg', 'https://github.com/mmaitre314/picklescan/commit/28a7b4ef753466572bda3313737116eeb9b4e5c5', 'https://nvd.nist.gov/vuln/detail/CVE-2025-10155', 'https://github.com/mmaitre314/picklescan/blob/58983e1c20973ac42f2df7ff15d7c8cd32f9b688/src/picklescan/scanner.py#L463', 'https://github.com/advisories/GHSA-jgw4-cr84-mqxg']","{'vector_string': 'CVSS:3.1/AV:L/AC:L/PR:N/UI:R/S:U/C:H/I:H/A:H', 'score': 7.8}","{'percentage': 0.00223, 'percentile': 0.44986}",
CVE-2025-10156,Picklescan: ZIP archive scan bypass is possible through non-exhaustive Cyclic Redundancy Check,critical,https://github.com/mmaitre314/picklescan,,"['https://github.com/mmaitre314/picklescan/security/advisories/GHSA-mjqp-26hc-grxg', 'https://github.com/mmaitre314/picklescan/commit/28a7b4ef753466572bda3313737116eeb9b4e5c5', 'https://nvd.nist.gov/vuln/detail/CVE-2025-10156', 'https://github.com/mmaitre314/picklescan/blob/v0.0.29/src/picklescan/relaxed_zipfile.py#L35', 'https://huggingface.co/jinaai/jina-embeddings-v2-base-en/resolve/main/pytorch_model.bin?download=true', 'https://huggingface.co/jinaai/jina-embeddings-v2-base-en/tree/main', 'https://github.com/advisories/GHSA-mjqp-26hc-grxg']","{'vector_string': 'CVSS:3.1/AV:N/AC:L/PR:N/UI:N/S:U/C:H/I:N/A:N', 'score': 7.5}","{'percentage': 0.00174, 'percentile': 0.39331}",
CVE-2025-10157,Picklescan is Vulnerable to Unsafe Globals Check Bypass through Subclass Imports,critical,https://github.com/mmaitre314/picklescan,,"['https://github.com/mmaitre314/picklescan/security/advisories/GHSA-f7qq-56ww-84cr', 'https://github.com/mmaitre314/picklescan/pull/50', 'https://github.com/mmaitre314/picklescan/commit/28a7b4ef753466572bda3313737116eeb9b4e5c5', 'https://nvd.nist.gov/vuln/detail/CVE-2025-10157', 'https://github.com/mmaitre314/picklescan/blob/2a8383cfeb4158567f9770d86597300c9e508d0f/src/picklescan/scanner.py#L309', 'https://huggingface.co/iluem/linux_pkl/resolve/main/asyncio_asyncio_unix_events___UnixSubprocessTransport__start.pkl', 'https://github.com/advisories/GHSA-f7qq-56ww-84cr']","{'vector_string': 'CVSS:3.1/AV:N/AC:L/PR:N/UI:R/S:U/C:H/I:H/A:L', 'score': 8.3}","{'percentage': 0.00287, 'percentile': 0.51879}",
CVE-2025-58438,internetarchive Vulnerable to Directory Traversal in File.download(),critical,https://github.com/jjjake/internetarchive,2025-09-06T19:15:38Z,"['https://github.com/jjjake/internetarchive/security/advisories/GHSA-wx3r-v6h7-frjp', 'https://github.com/jjjake/internetarchive/commit/cba2d459e10a9489fb35caeba0b03e80f5f5d7c2', 'https://github.com/jjjake/internetarchive/releases/tag/v5.5.1', 'https://nvd.nist.gov/vuln/detail/CVE-2025-58438', 'https://github.com/advisories/GHSA-wx3r-v6h7-frjp']","{'vector_string': None, 'score': None}","{'percentage': 0.0175, 'percentile': 0.8186}",
