CVE,Summary,Severity,Source Location,Published,References,CVSS,EPSS,KEV
CVE-2025-10950,ml-logger deserialization vulnerability,low,https://github.com/geyang/ml-logger,2025-09-25T15:16:10Z,"['https://nvd.nist.gov/vuln/detail/CVE-2025-10950', 'https://github.com/geyang/ml-logger/issues/72', 'https://vuldb.com/?ctiid.325820', 'https://vuldb.com/?id.325820', 'https://vuldb.com/?submit.652461', 'https://github.com/advisories/GHSA-57hm-8rjv-498w']","{'vector_string': 'CVSS:3.1/AV:N/AC:L/PR:L/UI:N/S:U/C:L/I:L/A:L', 'score': 6.3}",,
CVE-2025-57815,Fides has a Lack of Brute-Force Protections on Authentication Endpoints,low,https://github.com/ethyca/fides,2025-09-08T22:15:33Z,"['https://github.com/ethyca/fides/security/advisories/GHSA-7q62-r88r-j5gw', 'https://github.com/ethyca/fides/commit/59903c195e2f9f8915a1db94950aefd557033a5c', 'https://github.com/ethyca/fides/releases/tag/2.69.1', 'https://nvd.nist.gov/vuln/detail/CVE-2025-57815', 'https://github.com/advisories/GHSA-7q62-r88r-j5gw']","{'vector_string': 'CVSS:3.1/AV:N/AC:L/PR:N/UI:N/S:U/C:L/I:L/A:N', 'score': 6.5}","{'percentage': 0.00059, 'percentile': 0.1868}",
CVE-2025-57766,Fides' Admin UI User Password Change Does Not Invalidate Current Session,low,https://github.com/ethyca/fides,2025-09-08T22:15:33Z,"['https://github.com/ethyca/fides/security/advisories/GHSA-rpw8-82v9-3q87', 'https://github.com/ethyca/fides/commit/8daec4f5ad3daf0f0bdab4814f6757eb0965104b', 'https://github.com/ethyca/fides/releases/tag/2.69.1', 'https://nvd.nist.gov/vuln/detail/CVE-2025-57766', 'https://github.com/advisories/GHSA-rpw8-82v9-3q87']","{'vector_string': 'CVSS:3.1/AV:N/AC:H/PR:N/UI:N/S:U/C:L/I:L/A:N', 'score': 4.8}","{'percentage': 0.00035, 'percentile': 0.08567}",
CVE-2025-58352,Weblate has a long session expiry when verifying second factor,low,https://github.com/WeblateOrg/weblate,2025-09-05T00:15:32Z,"['https://github.com/WeblateOrg/weblate/security/advisories/GHSA-377j-wj38-4728', 'https://github.com/WeblateOrg/weblate/pull/16002', 'https://github.com/WeblateOrg/weblate/commit/0b46fe596231dd456283ead66699ae5516f23908', 'https://nvd.nist.gov/vuln/detail/CVE-2025-58352', 'https://github.com/advisories/GHSA-377j-wj38-4728']","{'vector_string': None, 'score': None}","{'percentage': 0.00039, 'percentile': 0.10942}",
CVE-2025-58161,MobSF Path Traversal in GET /download/<filename> using absolute filenames,low,https://github.com/MobSF/Mobile-Security-Framework-MobSF,,"['https://github.com/MobSF/Mobile-Security-Framework-MobSF/security/advisories/GHSA-ccc3-fvfx-mw3v', 'https://github.com/MobSF/Mobile-Security-Framework-MobSF/commit/7f3bc086c028c1b50889cab8a15f7b59b7abdaf9', 'https://github.com/MobSF/Mobile-Security-Framework-MobSF/releases/tag/v4.4.1', 'https://github.com/advisories/GHSA-ccc3-fvfx-mw3v']","{'vector_string': None, 'score': None}","{'percentage': 0.00114, 'percentile': 0.30821}",
CVE-2025-55304,Exiv2 has quadratic performance in ICC profile parsing in JpegBase::readMetadata,low,https://github.com/Exiv2/exiv2,2025-08-29T15:15:35Z,"['https://github.com/Exiv2/exiv2/security/advisories/GHSA-m54q-mm9w-fp6g', 'https://github.com/Exiv2/exiv2/issues/3333', 'https://github.com/Exiv2/exiv2/pull/3335', 'https://github.com/Exiv2/exiv2/pull/3345', 'https://nvd.nist.gov/vuln/detail/CVE-2025-55304', 'https://github.com/advisories/GHSA-m54q-mm9w-fp6g']","{'vector_string': None, 'score': None}","{'percentage': 0.00011, 'percentile': 0.0105}",
CVE-2025-54080,Exiv2 Segmentation Faults in Exiv2::EpsImage::writeMetadata() via crafted EPS file,low,https://github.com/Exiv2/exiv2,2025-08-29T15:15:35Z,"['https://github.com/Exiv2/exiv2/security/advisories/GHSA-496f-x7cq-cq39', 'https://github.com/Exiv2/exiv2/commit/e737332427711f15bcdc4e903203d6b7493eaec0', 'https://nvd.nist.gov/vuln/detail/CVE-2025-54080', 'https://github.com/advisories/GHSA-496f-x7cq-cq39']","{'vector_string': None, 'score': None}","{'percentage': 0.00019, 'percentile': 0.03211}",
CVE-2025-54364,Withdrawn Advisory: Microsoft Knack ReDoS Vulnerability in the Introspection Module,low,https://github.com/microsoft/knack,2025-08-20T03:15:35Z,"['https://nvd.nist.gov/vuln/detail/CVE-2025-54364', 'https://www.vulncheck.com/advisories/microsoft-knack-python-package-regular-expression-dos', 'https://github.com/microsoft/knack/issues/281', 'https://github.com/microsoft/knack/issues/281#issuecomment-3218922941', 'https://github.com/advisories/GHSA-xh9h-692f-mmg4']","{'vector_string': None, 'score': None}","{'percentage': 0.0022, 'percentile': 0.4465}",
CVE-2025-54363,Withdrawn Advisory: Microsoft Knack ReDoS Vulnerability in the Introspection Module,low,https://github.com/microsoft/knack,2025-08-20T03:15:35Z,"['https://nvd.nist.gov/vuln/detail/CVE-2025-54363', 'https://www.vulncheck.com/advisories/microsoft-knack-python-package-regular-expression-dos', 'https://github.com/microsoft/knack/issues/281', 'https://github.com/microsoft/knack/issues/281#issuecomment-3218922941', 'https://github.com/advisories/GHSA-6fxp-p9mg-q64w']","{'vector_string': None, 'score': None}","{'percentage': 0.00232, 'percentile': 0.45981}",
,Litestar has potential log injection in exception logging,low,https://github.com/litestar-org/litestar,,"['https://github.com/litestar-org/litestar/security/advisories/GHSA-674p-xv2x-rf3g', 'https://github.com/litestar-org/litestar/commit/03b5813d4f448dd710af9ba6252d798cb9fc087f', 'https://github.com/advisories/GHSA-674p-xv2x-rf3g']","{'vector_string': 'CVSS:3.1/AV:N/AC:H/PR:N/UI:N/S:U/C:N/I:L/A:N', 'score': 3.7}",,
CVE-2025-53011,MaterialX Null Pointer Dereference in MaterialXCore Shader Generation due to Unchecked implGraphOutput,low,https://github.com/AcademySoftwareFoundation/MaterialX,2025-08-01T18:15:54Z,"['https://github.com/AcademySoftwareFoundation/MaterialX/security/advisories/GHSA-7qw8-3vmf-gj32', 'https://github.com/AcademySoftwareFoundation/MaterialX/commit/7ac1c71de5187dc29793292b5a8dc6d784192ecf', 'https://github.com/ShielderSec/poc/tree/main/CVE-2025-53011', 'https://nvd.nist.gov/vuln/detail/CVE-2025-53011', 'https://github.com/AcademySoftwareFoundation/MaterialX/releases/tag/v1.39.3', 'https://github.com/advisories/GHSA-7qw8-3vmf-gj32']","{'vector_string': None, 'score': None}","{'percentage': 0.00054, 'percentile': 0.17038}",
CVE-2025-53010,MaterialX Null Pointer Dereference in getShaderNodes due to Unchecked nodeGraph->getOutput return,low,https://github.com/AcademySoftwareFoundation/MaterialX,2025-08-01T18:15:54Z,"['https://github.com/AcademySoftwareFoundation/MaterialX/security/advisories/GHSA-3jhf-gxhr-q4cx', 'https://github.com/AcademySoftwareFoundation/MaterialX/commit/e13344ba13326869d7820b444705f24d56fab73d', 'https://github.com/ShielderSec/poc/tree/main/CVE-2025-53010', 'https://nvd.nist.gov/vuln/detail/CVE-2025-53010', 'https://github.com/advisories/GHSA-3jhf-gxhr-q4cx']","{'vector_string': None, 'score': None}","{'percentage': 0.00054, 'percentile': 0.16982}",
CVE-2025-50460,MS SWIFT Remote Code Execution via unsafe PyYAML deserialization,low,https://github.com/modelscope/ms-swift,2025-08-01T16:15:41Z,"['https://github.com/modelscope/ms-swift/security/advisories/GHSA-fm6c-f59h-7mmg', 'https://github.com/modelscope/ms-swift/pull/5174', 'https://github.com/modelscope/ms-swift/commit/b3418ed9b050dc079553c275c5ed14cfb2b66cf7', 'https://github.com/Anchor0221/CVE-2025-50460', 'https://nvd.nist.gov/vuln/detail/CVE-2025-50460', 'https://github.com/advisories/GHSA-6757-jp84-gxfx', 'https://github.com/modelscope/ms-swift', 'https://github.com/modelscope/ms-swift/blob/main/tests/run.py#L420', 'https://github.com/advisories/GHSA-fm6c-f59h-7mmg']","{'vector_string': 'CVSS:3.1/AV:N/AC:L/PR:N/UI:N/S:U/C:H/I:H/A:H', 'score': 9.8}","{'percentage': 0.00421, 'percentile': 0.61256}",
CVE-2025-7885,WebSSH Cross-site Scripting vulnerability,low,https://github.com/huashengdun/webssh,2025-07-20T12:15:24Z,"['https://nvd.nist.gov/vuln/detail/CVE-2025-7885', 'https://github.com/huashengdun/webssh/issues/410', 'https://github.com/4m3rr0r/PoCVulDb/blob/main/CVE-2025-7885.md', 'https://vuldb.com/?ctiid.317000', 'https://vuldb.com/?id.317000', 'https://vuldb.com/?submit.613610', 'https://github.com/huashengdun/webssh/commit/a7a704f111391c82efc1bacf89693ff45bda7f5f', 'https://github.com/advisories/GHSA-9cg4-9hv5-3376']","{'vector_string': 'CVSS:3.1/AV:N/AC:L/PR:N/UI:R/S:U/C:N/I:L/A:N', 'score': 4.3}","{'percentage': 0.00064, 'percentile': 0.20175}",
CVE-2025-53643, AIOHTTP is vulnerable to HTTP Request/Response Smuggling through incorrect parsing of chunked trailer sections,low,https://github.com/aio-libs/aiohttp,2025-07-14T21:15:27Z,"['https://github.com/aio-libs/aiohttp/security/advisories/GHSA-9548-qrrj-x5pj', 'https://github.com/aio-libs/aiohttp/commit/e8d774f635dc6d1cd3174d0e38891da5de0e2b6a', 'https://nvd.nist.gov/vuln/detail/CVE-2025-53643', 'https://github.com/advisories/GHSA-9548-qrrj-x5pj']","{'vector_string': None, 'score': None}","{'percentage': 0.00045, 'percentile': 0.13593}",
CVE-2025-3777,Transformers's Improper Input Validation vulnerability can be exploited through username injection,low,https://github.com/huggingface/transformers,2025-07-07T10:15:28Z,"['https://nvd.nist.gov/vuln/detail/CVE-2025-3777', 'https://github.com/huggingface/transformers/commit/4dda5f71b35fb70cf602187eef84bb17a50b9082', 'https://huntr.com/bounties/ccba0730-9248-4853-b7ff-5c20e6364f09', 'https://github.com/huggingface/transformers/blame/a7d2bbaaa8aac64f7c1ee8c1421cfe84b38359a4/src/transformers/image_utils.py', 'https://github.com/advisories/GHSA-phhr-52qp-3mj4']","{'vector_string': 'CVSS:3.0/AV:N/AC:L/PR:L/UI:R/S:U/C:L/I:N/A:N', 'score': 3.5}","{'percentage': 0.0008, 'percentile': 0.24577}",
CVE-2025-6853,Langchain-Chatchat has a Path Traversal vulnerability,low,https://github.com/chatchat-space/Langchain-Chatchat,2025-06-29T08:15:21Z,"['https://nvd.nist.gov/vuln/detail/CVE-2025-6853', 'https://github.com/chatchat-space/Langchain-Chatchat/issues/5352', 'https://vuldb.com/?ctiid.314325', 'https://vuldb.com/?id.314325', 'https://vuldb.com/?submit.601155', 'https://github.com/advisories/GHSA-qmgv-j263-qr33']","{'vector_string': 'CVSS:3.1/AV:N/AC:L/PR:L/UI:N/S:U/C:L/I:L/A:L', 'score': 6.3}","{'percentage': 0.00104, 'percentile': 0.29085}",
CVE-2025-6518,pyspur Incomplete Filtering of Special Elements allowed by SingleLLMCallNode function,low,https://github.com/PySpur-Dev/pyspur,2025-06-23T19:15:25Z,"['https://nvd.nist.gov/vuln/detail/CVE-2025-6518', 'https://github.com/PySpur-Dev/pyspur/issues/289', 'https://vuldb.com/?ctiid.313638', 'https://vuldb.com/?id.313638', 'https://vuldb.com/?submit.593612', 'https://github.com/advisories/GHSA-8gff-cf92-72pv']","{'vector_string': 'CVSS:3.1/AV:N/AC:L/PR:L/UI:N/S:U/C:L/I:L/A:L', 'score': 6.3}","{'percentage': 0.00061, 'percentile': 0.19289}",
CVE-2025-6279,Upsonic has vulnerability in Pickle Handler component that can lead to deserialization,low,https://github.com/Upsonic/Upsonic,2025-06-19T21:15:27Z,"['https://nvd.nist.gov/vuln/detail/CVE-2025-6279', 'https://github.com/Upsonic/Upsonic/issues/353', 'https://vuldb.com/?ctiid.313283', 'https://vuldb.com/?id.313283', 'https://vuldb.com/?submit.593099', 'https://github.com/Upsonic/Upsonic/pull/360', 'https://github.com/Upsonic/Upsonic/pull/360#issuecomment-2979387098', 'https://github.com/Upsonic/Upsonic/commit/a54529acc6e4bfe28f4f5c80c058144348a306b7', 'https://github.com/pypa/advisory-database/tree/main/vulns/upsonic/PYSEC-2025-68.yaml', 'https://github.com/advisories/GHSA-rpfv-46xj-5984']","{'vector_string': 'CVSS:3.1/AV:A/AC:L/PR:L/UI:N/S:U/C:L/I:L/A:L', 'score': 5.5}","{'percentage': 0.00052, 'percentile': 0.16033}",
CVE-2025-6278,Upsonic is vulnerable to Path Traversal attack through its os.path.join function,low,https://github.com/Upsonic/Upsonic,2025-06-19T21:15:27Z,"['https://nvd.nist.gov/vuln/detail/CVE-2025-6278', 'https://github.com/Upsonic/Upsonic/issues/356', 'https://vuldb.com/?ctiid.313282', 'https://vuldb.com/?id.313282', 'https://vuldb.com/?submit.593096', 'https://github.com/Upsonic/Upsonic/pull/360', 'https://github.com/Upsonic/Upsonic/commit/a54529acc6e4bfe28f4f5c80c058144348a306b7', 'https://github.com/Upsonic/Upsonic/blob/v0.55.6/src/upsonic/server/markdown/server/server.py#L39', 'https://github.com/pypa/advisory-database/tree/main/vulns/upsonic/PYSEC-2025-67.yaml', 'https://github.com/advisories/GHSA-8jf4-fcjr-68c2']","{'vector_string': 'CVSS:3.1/AV:A/AC:L/PR:L/UI:N/S:U/C:L/I:L/A:L', 'score': 5.5}","{'percentage': 0.00102, 'percentile': 0.28581}",
CVE-2025-49134,Weblate exposes personal IP address via e-mail,low,https://github.com/WeblateOrg/weblate,2025-06-16T21:15:24Z,"['https://github.com/WeblateOrg/weblate/security/advisories/GHSA-4qqf-9m5c-w2c5', 'https://github.com/WeblateOrg/weblate/pull/15102', 'https://github.com/WeblateOrg/weblate/commit/020b2905e4d001cff2452574d10e6cf3621b5f62', 'https://nvd.nist.gov/vuln/detail/CVE-2025-49134', 'https://github.com/WeblateOrg/weblate/releases/tag/weblate-5.12.1', 'https://github.com/advisories/GHSA-4qqf-9m5c-w2c5']","{'vector_string': 'CVSS:3.1/AV:N/AC:L/PR:N/UI:N/S:U/C:L/I:N/A:N', 'score': 5.3}","{'percentage': 0.00048, 'percentile': 0.14157}",
